Date_Key,Fact,Fact_Type,Source
4/10/15,2,SearchInterest_GlobalAggregate,Google
11/10/15,2,SearchInterest_GlobalAggregate,Google
18/10/15,2,SearchInterest_GlobalAggregate,Google
25/10/15,3,SearchInterest_GlobalAggregate,Google
1/11/15,4,SearchInterest_GlobalAggregate,Google
8/11/15,3,SearchInterest_GlobalAggregate,Google
15/11/15,3,SearchInterest_GlobalAggregate,Google
22/11/15,3,SearchInterest_GlobalAggregate,Google
29/11/15,3,SearchInterest_GlobalAggregate,Google
6/12/15,4,SearchInterest_GlobalAggregate,Google
13/12/15,3,SearchInterest_GlobalAggregate,Google
20/12/15,3,SearchInterest_GlobalAggregate,Google
27/12/15,3,SearchInterest_GlobalAggregate,Google
3/1/16,3,SearchInterest_GlobalAggregate,Google
10/1/16,3,SearchInterest_GlobalAggregate,Google
17/1/16,3,SearchInterest_GlobalAggregate,Google
24/1/16,3,SearchInterest_GlobalAggregate,Google
31/1/16,2,SearchInterest_GlobalAggregate,Google
7/2/16,3,SearchInterest_GlobalAggregate,Google
14/2/16,3,SearchInterest_GlobalAggregate,Google
21/2/16,3,SearchInterest_GlobalAggregate,Google
28/2/16,3,SearchInterest_GlobalAggregate,Google
6/3/16,3,SearchInterest_GlobalAggregate,Google
13/3/16,3,SearchInterest_GlobalAggregate,Google
20/3/16,3,SearchInterest_GlobalAggregate,Google
27/3/16,2,SearchInterest_GlobalAggregate,Google
3/4/16,2,SearchInterest_GlobalAggregate,Google
10/4/16,2,SearchInterest_GlobalAggregate,Google
17/4/16,3,SearchInterest_GlobalAggregate,Google
24/4/16,3,SearchInterest_GlobalAggregate,Google
1/5/16,4,SearchInterest_GlobalAggregate,Google
8/5/16,3,SearchInterest_GlobalAggregate,Google
15/5/16,3,SearchInterest_GlobalAggregate,Google
22/5/16,3,SearchInterest_GlobalAggregate,Google
29/5/16,4,SearchInterest_GlobalAggregate,Google
5/6/16,3,SearchInterest_GlobalAggregate,Google
12/6/16,5,SearchInterest_GlobalAggregate,Google
19/6/16,5,SearchInterest_GlobalAggregate,Google
26/6/16,4,SearchInterest_GlobalAggregate,Google
3/7/16,4,SearchInterest_GlobalAggregate,Google
10/7/16,3,SearchInterest_GlobalAggregate,Google
17/7/16,3,SearchInterest_GlobalAggregate,Google
24/7/16,3,SearchInterest_GlobalAggregate,Google
31/7/16,4,SearchInterest_GlobalAggregate,Google
7/8/16,3,SearchInterest_GlobalAggregate,Google
14/8/16,3,SearchInterest_GlobalAggregate,Google
21/8/16,3,SearchInterest_GlobalAggregate,Google
28/8/16,3,SearchInterest_GlobalAggregate,Google
4/9/16,3,SearchInterest_GlobalAggregate,Google
11/9/16,3,SearchInterest_GlobalAggregate,Google
18/9/16,3,SearchInterest_GlobalAggregate,Google
25/9/16,3,SearchInterest_GlobalAggregate,Google
2/10/16,3,SearchInterest_GlobalAggregate,Google
9/10/16,3,SearchInterest_GlobalAggregate,Google
16/10/16,3,SearchInterest_GlobalAggregate,Google
23/10/16,3,SearchInterest_GlobalAggregate,Google
30/10/16,4,SearchInterest_GlobalAggregate,Google
6/11/16,4,SearchInterest_GlobalAggregate,Google
13/11/16,4,SearchInterest_GlobalAggregate,Google
20/11/16,4,SearchInterest_GlobalAggregate,Google
27/11/16,4,SearchInterest_GlobalAggregate,Google
4/12/16,4,SearchInterest_GlobalAggregate,Google
11/12/16,3,SearchInterest_GlobalAggregate,Google
18/12/16,4,SearchInterest_GlobalAggregate,Google
25/12/16,5,SearchInterest_GlobalAggregate,Google
1/1/17,7,SearchInterest_GlobalAggregate,Google
8/1/17,6,SearchInterest_GlobalAggregate,Google
15/1/17,5,SearchInterest_GlobalAggregate,Google
22/1/17,4,SearchInterest_GlobalAggregate,Google
29/1/17,5,SearchInterest_GlobalAggregate,Google
5/2/17,5,SearchInterest_GlobalAggregate,Google
12/2/17,4,SearchInterest_GlobalAggregate,Google
19/2/17,5,SearchInterest_GlobalAggregate,Google
26/2/17,6,SearchInterest_GlobalAggregate,Google
5/3/17,7,SearchInterest_GlobalAggregate,Google
12/3/17,6,SearchInterest_GlobalAggregate,Google
19/3/17,6,SearchInterest_GlobalAggregate,Google
26/3/17,5,SearchInterest_GlobalAggregate,Google
2/4/17,5,SearchInterest_GlobalAggregate,Google
9/4/17,5,SearchInterest_GlobalAggregate,Google
16/4/17,5,SearchInterest_GlobalAggregate,Google
23/4/17,5,SearchInterest_GlobalAggregate,Google
30/4/17,7,SearchInterest_GlobalAggregate,Google
7/5/17,10,SearchInterest_GlobalAggregate,Google
14/5/17,11,SearchInterest_GlobalAggregate,Google
21/5/17,19,SearchInterest_GlobalAggregate,Google
28/5/17,13,SearchInterest_GlobalAggregate,Google
4/6/17,13,SearchInterest_GlobalAggregate,Google
11/6/17,14,SearchInterest_GlobalAggregate,Google
18/6/17,12,SearchInterest_GlobalAggregate,Google
25/6/17,12,SearchInterest_GlobalAggregate,Google
2/7/17,10,SearchInterest_GlobalAggregate,Google
9/7/17,11,SearchInterest_GlobalAggregate,Google
16/7/17,12,SearchInterest_GlobalAggregate,Google
23/7/17,11,SearchInterest_GlobalAggregate,Google
30/7/17,13,SearchInterest_GlobalAggregate,Google
6/8/17,14,SearchInterest_GlobalAggregate,Google
13/8/17,19,SearchInterest_GlobalAggregate,Google
20/8/17,15,SearchInterest_GlobalAggregate,Google
27/8/17,17,SearchInterest_GlobalAggregate,Google
3/9/17,18,SearchInterest_GlobalAggregate,Google
10/9/17,20,SearchInterest_GlobalAggregate,Google
17/9/17,15,SearchInterest_GlobalAggregate,Google
24/9/17,13,SearchInterest_GlobalAggregate,Google
1/10/17,12,SearchInterest_GlobalAggregate,Google
8/10/17,18,SearchInterest_GlobalAggregate,Google
15/10/17,19,SearchInterest_GlobalAggregate,Google
22/10/17,20,SearchInterest_GlobalAggregate,Google
29/10/17,25,SearchInterest_GlobalAggregate,Google
5/11/17,27,SearchInterest_GlobalAggregate,Google
12/11/17,28,SearchInterest_GlobalAggregate,Google
19/11/17,26,SearchInterest_GlobalAggregate,Google
26/11/17,59,SearchInterest_GlobalAggregate,Google
3/12/17,84,SearchInterest_GlobalAggregate,Google
10/12/17,78,SearchInterest_GlobalAggregate,Google
17/12/17,89,SearchInterest_GlobalAggregate,Google
24/12/17,59,SearchInterest_GlobalAggregate,Google
31/12/17,46,SearchInterest_GlobalAggregate,Google
7/1/18,45,SearchInterest_GlobalAggregate,Google
14/1/18,55,SearchInterest_GlobalAggregate,Google
21/1/18,37,SearchInterest_GlobalAggregate,Google
28/1/18,38,SearchInterest_GlobalAggregate,Google
4/2/18,44,SearchInterest_GlobalAggregate,Google
11/2/18,27,SearchInterest_GlobalAggregate,Google
18/2/18,23,SearchInterest_GlobalAggregate,Google
25/2/18,19,SearchInterest_GlobalAggregate,Google
4/3/18,18,SearchInterest_GlobalAggregate,Google
11/3/18,18,SearchInterest_GlobalAggregate,Google
18/3/18,17,SearchInterest_GlobalAggregate,Google
25/3/18,17,SearchInterest_GlobalAggregate,Google
1/4/18,16,SearchInterest_GlobalAggregate,Google
8/4/18,16,SearchInterest_GlobalAggregate,Google
15/4/18,14,SearchInterest_GlobalAggregate,Google
22/4/18,14,SearchInterest_GlobalAggregate,Google
29/4/18,12,SearchInterest_GlobalAggregate,Google
6/5/18,12,SearchInterest_GlobalAggregate,Google
13/5/18,11,SearchInterest_GlobalAggregate,Google
20/5/18,11,SearchInterest_GlobalAggregate,Google
27/5/18,10,SearchInterest_GlobalAggregate,Google
3/6/18,9,SearchInterest_GlobalAggregate,Google
10/6/18,12,SearchInterest_GlobalAggregate,Google
17/6/18,10,SearchInterest_GlobalAggregate,Google
24/6/18,11,SearchInterest_GlobalAggregate,Google
1/7/18,10,SearchInterest_GlobalAggregate,Google
8/7/18,9,SearchInterest_GlobalAggregate,Google
15/7/18,11,SearchInterest_GlobalAggregate,Google
22/7/18,12,SearchInterest_GlobalAggregate,Google
29/7/18,10,SearchInterest_GlobalAggregate,Google
5/8/18,11,SearchInterest_GlobalAggregate,Google
12/8/18,11,SearchInterest_GlobalAggregate,Google
19/8/18,10,SearchInterest_GlobalAggregate,Google
26/8/18,10,SearchInterest_GlobalAggregate,Google
2/9/18,11,SearchInterest_GlobalAggregate,Google
9/9/18,10,SearchInterest_GlobalAggregate,Google
16/9/18,9,SearchInterest_GlobalAggregate,Google
23/9/18,9,SearchInterest_GlobalAggregate,Google
30/9/18,8,SearchInterest_GlobalAggregate,Google
7/10/18,9,SearchInterest_GlobalAggregate,Google
14/10/18,9,SearchInterest_GlobalAggregate,Google
21/10/18,8,SearchInterest_GlobalAggregate,Google
28/10/18,8,SearchInterest_GlobalAggregate,Google
4/11/18,8,SearchInterest_GlobalAggregate,Google
11/11/18,10,SearchInterest_GlobalAggregate,Google
18/11/18,13,SearchInterest_GlobalAggregate,Google
25/11/18,14,SearchInterest_GlobalAggregate,Google
2/12/18,11,SearchInterest_GlobalAggregate,Google
9/12/18,11,SearchInterest_GlobalAggregate,Google
16/12/18,11,SearchInterest_GlobalAggregate,Google
23/12/18,10,SearchInterest_GlobalAggregate,Google
30/12/18,9,SearchInterest_GlobalAggregate,Google
6/1/19,9,SearchInterest_GlobalAggregate,Google
13/1/19,8,SearchInterest_GlobalAggregate,Google
20/1/19,7,SearchInterest_GlobalAggregate,Google
27/1/19,7,SearchInterest_GlobalAggregate,Google
3/2/19,8,SearchInterest_GlobalAggregate,Google
10/2/19,7,SearchInterest_GlobalAggregate,Google
17/2/19,8,SearchInterest_GlobalAggregate,Google
24/2/19,8,SearchInterest_GlobalAggregate,Google
3/3/19,7,SearchInterest_GlobalAggregate,Google
10/3/19,7,SearchInterest_GlobalAggregate,Google
17/3/19,7,SearchInterest_GlobalAggregate,Google
24/3/19,7,SearchInterest_GlobalAggregate,Google
31/3/19,12,SearchInterest_GlobalAggregate,Google
7/4/19,10,SearchInterest_GlobalAggregate,Google
14/4/19,9,SearchInterest_GlobalAggregate,Google
21/4/19,9,SearchInterest_GlobalAggregate,Google
28/4/19,9,SearchInterest_GlobalAggregate,Google
5/5/19,12,SearchInterest_GlobalAggregate,Google
12/5/19,20,SearchInterest_GlobalAggregate,Google
19/5/19,14,SearchInterest_GlobalAggregate,Google
26/5/19,15,SearchInterest_GlobalAggregate,Google
2/6/19,12,SearchInterest_GlobalAggregate,Google
9/6/19,11,SearchInterest_GlobalAggregate,Google
16/6/19,17,SearchInterest_GlobalAggregate,Google
23/6/19,26,SearchInterest_GlobalAggregate,Google
30/6/19,18,SearchInterest_GlobalAggregate,Google
7/7/19,17,SearchInterest_GlobalAggregate,Google
14/7/19,16,SearchInterest_GlobalAggregate,Google
21/7/19,13,SearchInterest_GlobalAggregate,Google
28/7/19,12,SearchInterest_GlobalAggregate,Google
4/8/19,15,SearchInterest_GlobalAggregate,Google
11/8/19,13,SearchInterest_GlobalAggregate,Google
18/8/19,12,SearchInterest_GlobalAggregate,Google
25/8/19,38,SearchInterest_GlobalAggregate,Google
1/9/19,100,SearchInterest_GlobalAggregate,Google
8/9/19,57,SearchInterest_GlobalAggregate,Google
15/9/19,52,SearchInterest_GlobalAggregate,Google
22/9/19,34,SearchInterest_GlobalAggregate,Google
29/9/19,10,SearchInterest_GlobalAggregate,Google
6/10/19,10,SearchInterest_GlobalAggregate,Google
13/10/19,9,SearchInterest_GlobalAggregate,Google
20/10/19,11,SearchInterest_GlobalAggregate,Google
27/10/19,11,SearchInterest_GlobalAggregate,Google
3/11/19,9,SearchInterest_GlobalAggregate,Google
10/11/19,9,SearchInterest_GlobalAggregate,Google
17/11/19,10,SearchInterest_GlobalAggregate,Google
24/11/19,10,SearchInterest_GlobalAggregate,Google
1/12/19,9,SearchInterest_GlobalAggregate,Google
8/12/19,8,SearchInterest_GlobalAggregate,Google
15/12/19,10,SearchInterest_GlobalAggregate,Google
22/12/19,9,SearchInterest_GlobalAggregate,Google
29/12/19,9,SearchInterest_GlobalAggregate,Google
5/1/20,11,SearchInterest_GlobalAggregate,Google
12/1/20,11,SearchInterest_GlobalAggregate,Google
19/1/20,10,SearchInterest_GlobalAggregate,Google
26/1/20,11,SearchInterest_GlobalAggregate,Google
2/2/20,11,SearchInterest_GlobalAggregate,Google
9/2/20,13,SearchInterest_GlobalAggregate,Google
16/2/20,11,SearchInterest_GlobalAggregate,Google
23/2/20,12,SearchInterest_GlobalAggregate,Google
1/3/20,10,SearchInterest_GlobalAggregate,Google
8/3/20,20,SearchInterest_GlobalAggregate,Google
15/3/20,20,SearchInterest_GlobalAggregate,Google
22/3/20,15,SearchInterest_GlobalAggregate,Google
29/3/20,13,SearchInterest_GlobalAggregate,Google
5/4/20,13,SearchInterest_GlobalAggregate,Google
12/4/20,12,SearchInterest_GlobalAggregate,Google
19/4/20,13,SearchInterest_GlobalAggregate,Google
26/4/20,16,SearchInterest_GlobalAggregate,Google
3/5/20,18,SearchInterest_GlobalAggregate,Google
10/5/20,21,SearchInterest_GlobalAggregate,Google
17/5/20,15,SearchInterest_GlobalAggregate,Google
24/5/20,13,SearchInterest_GlobalAggregate,Google
31/5/20,13,SearchInterest_GlobalAggregate,Google
7/6/20,12,SearchInterest_GlobalAggregate,Google
14/6/20,11,SearchInterest_GlobalAggregate,Google
21/6/20,10,SearchInterest_GlobalAggregate,Google
28/6/20,10,SearchInterest_GlobalAggregate,Google
5/7/20,10,SearchInterest_GlobalAggregate,Google
12/7/20,11,SearchInterest_GlobalAggregate,Google
19/7/20,10,SearchInterest_GlobalAggregate,Google
26/7/20,17,SearchInterest_GlobalAggregate,Google
2/8/20,15,SearchInterest_GlobalAggregate,Google
9/8/20,14,SearchInterest_GlobalAggregate,Google
16/8/20,13,SearchInterest_GlobalAggregate,Google
23/8/20,11,SearchInterest_GlobalAggregate,Google
30/8/20,13,SearchInterest_GlobalAggregate,Google
6/9/20,11,SearchInterest_GlobalAggregate,Google
13/9/20,10,SearchInterest_GlobalAggregate,Google
20/9/20,10,SearchInterest_GlobalAggregate,Google
27/9/20,9,SearchInterest_GlobalAggregate,Google